modo_transporte,tipo_combustible,valor
HIGHWAY ,Gasoline_2007,17022.5
Light vehicles,Gasoline_2007,16485.5
Buses,Gasoline_2007,6.9
Medium/heavy trucks,Gasoline_2007,530.1
NONHIGHWAY,Gasoline_2007,0
Air,Gasoline_2007,38.9
Water,Gasoline_2007,202.7
Pipeline,Gasoline_2007,0
Rail,Gasoline_2007,0
HIGHWAY ,Diesel_fuel_2007,5288.9
Light vehicles,Diesel_fuel_2007,394.5
Buses,Diesel_fuel_2007,167.7
Medium/heavy trucks,Diesel_fuel_2007,4726.6
NONHIGHWAY,Diesel_fuel_2007,0
Air,Diesel_fuel_2007,0
Water,Diesel_fuel_2007,344.2
Pipeline,Diesel_fuel_2007,0
Rail,Diesel_fuel_2007,586.7
HIGHWAY ,Liquified_petroleum_gas_2007,62.4
Light vehicles,Liquified_petroleum_gas_2007,44.9
Buses,Liquified_petroleum_gas_2007,18.4
Medium/heavy trucks,Liquified_petroleum_gas_2007,17.5
NONHIGHWAY,Liquified_petroleum_gas_2007,0
Air,Liquified_petroleum_gas_2007,0
Water,Liquified_petroleum_gas_2007,1012.1
Pipeline,Liquified_petroleum_gas_2007,0
Rail,Liquified_petroleum_gas_2007,0
HIGHWAY ,Jet_fuel_2007,18.4
Light vehicles,Jet_fuel_2007,16924.9
Buses,Jet_fuel_2007,0.6
Medium/heavy trucks,Jet_fuel_2007,5274.2
NONHIGHWAY,Jet_fuel_2007,0
Air,Jet_fuel_2007,2470.5
Water,Jet_fuel_2007,1559.1
Pipeline,Jet_fuel_2007,0
Rail,Jet_fuel_2007,0
HIGHWAY ,Residual_fuel_oil_2007,0.6
Light vehicles,Residual_fuel_oil_2007,0
Buses,Residual_fuel_oil_2007,193.7
Medium/heavy trucks,Residual_fuel_oil_2007,0
NONHIGHWAY,Residual_fuel_oil_2007,0
Air,Residual_fuel_oil_2007,0
Water,Residual_fuel_oil_2007,0
Pipeline,Residual_fuel_oil_2007,0
Rail,Residual_fuel_oil_2007,0
HIGHWAY ,Natural_gas_2007,22392.7
Light vehicles,Natural_gas_2007,0
Buses,Natural_gas_2007,0
Medium/heavy trucks,Natural_gas_2007,0
NONHIGHWAY,Natural_gas_2007,0
Air,Natural_gas_2007,0
Water,Natural_gas_2007,0
Pipeline,Natural_gas_2007,642.2
Rail,Natural_gas_2007,0
HIGHWAY ,Electricity_2007,0
Light vehicles,Electricity_2007,0
Buses,Electricity_2007,0
Medium/heavy trucks,Electricity_2007,0
NONHIGHWAY,Electricity_2007,0
Air,Electricity_2007,0
Water,Electricity_2007,0
Pipeline,Electricity_2007,241.3
Rail,Electricity_2007,70.8
HIGHWAY ,Total_2007,0
Light vehicles,Total_2007,0
Buses,Total_2007,0
Medium/heavy trucks,Total_2007,0
NONHIGHWAY,Total_2007,0
Air,Total_2007,2509.5
Water,Total_2007,0
Pipeline,Total_2007,883.5
Rail,Total_2007,657.5
HIGHWAY ,Gasoline_2008,16513.8
Light vehicles,Gasoline_2008,16001.9
Buses,Gasoline_2008,7.2
Medium/heavy trucks,Gasoline_2008,504.7
NONHIGHWAY,Gasoline_2008,237.7
Air,Gasoline_2008,37.7
Water,Gasoline_2008,200
Pipeline,Gasoline_2008,0
Rail,Gasoline_2008,0
HIGHWAY ,Diesel_fuel_2008,5060.8
Light vehicles,Diesel_fuel_2008,389.1
Buses,Diesel_fuel_2008,171.5
Medium/heavy trucks,Diesel_fuel_2008,4500.2
NONHIGHWAY,Diesel_fuel_2008,794.3
Air,Diesel_fuel_2008,0
Water,Diesel_fuel_2008,231.5
Pipeline,Diesel_fuel_2008,0
Rail,Diesel_fuel_2008,562.9
HIGHWAY ,Liquified_petroleum_gas_2008,61.5
Light vehicles,Liquified_petroleum_gas_2008,44.7
Buses,Liquified_petroleum_gas_2008,0
Medium/heavy trucks,Liquified_petroleum_gas_2008,16.8
NONHIGHWAY,Liquified_petroleum_gas_2008,0
Air,Liquified_petroleum_gas_2008,0
Water,Liquified_petroleum_gas_2008,795.8
Pipeline,Liquified_petroleum_gas_2008,0
Rail,Liquified_petroleum_gas_2008,0
HIGHWAY ,Jet_fuel_2008,20.4
Light vehicles,Jet_fuel_2008,0
Buses,Jet_fuel_2008,20.4
Medium/heavy trucks,Jet_fuel_2008,5021.6
NONHIGHWAY,Jet_fuel_2008,2355.6
Air,Jet_fuel_2008,2355.6
Water,Jet_fuel_2008,1227.2
Pipeline,Jet_fuel_2008,0
Rail,Jet_fuel_2008,0
HIGHWAY ,Residual_fuel_oil_2008,0.6
Light vehicles,Residual_fuel_oil_2008,0
Buses,Residual_fuel_oil_2008,0.6
Medium/heavy trucks,Residual_fuel_oil_2008,0
NONHIGHWAY,Residual_fuel_oil_2008,795.8
Air,Residual_fuel_oil_2008,0
Water,Residual_fuel_oil_2008,0
Pipeline,Residual_fuel_oil_2008,0
Rail,Residual_fuel_oil_2008,0
HIGHWAY ,Natural_gas_2008,21657.1
Light vehicles,Natural_gas_2008,16435.7
Buses,Natural_gas_2008,199.8
Medium/heavy trucks,Natural_gas_2008,0
NONHIGHWAY,Natural_gas_2008,668
